"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","RGB2_Plant_AREA_MM","RGB2_Plant_PERIMETER_MM","RGB2_Plant_COMPACTNESS","RGB2_Plant_SOL"
"9/4/2023",24,"L6_C_18","L6","Control","RGB2",4800.432384,1973.24678,0.054305656,157.4432006
"9/4/2023",24,"L1_C_10","L1","Control","RGB2",2423.051952,1258.429479,0.05839493,109.5061512
"9/4/2023",24,"L9_C_10","L9","Control","RGB2",3369.026749,1627.504332,0.059860541,163.8152853
"9/4/2023",24,"L9_D_20","L9","Drought","RGB2",3947.388231,1502.197902,0.079301767,103.7907743
"9/4/2023",24,"L9_C_11","L9","Control","RGB2",3229.550847,1492.426847,0.073066,142.7257177
"9/4/2023",24,"L9_C_12","L9","Control","RGB2",4480.620353,1817.924808,0.11352183,124.7722678
"9/4/2023",24,"L7_D_15","L7","Drought","RGB2",1190.069269,647.2585583,0.187948019,68.37169622
"9/4/2023",24,"L1_C_12","L1","Control","RGB2",4154.330777,1485.972388,0.098578799,98.62614792
"9/4/2023",24,"L6_C_9","L6","Control","RGB2",3507.963747,1362.653993,0.100944059,103.7506053
"9/4/2023",24,"L6_D_10","L6","Drought","RGB2",3313.236388,1508.400526,0.073418458,123.8061907
"9/4/2023",24,"L9_C_9","L9","Control","RGB2",4246.56556,1944.647541,0.076038399,161.6765032
"9/4/2023",24,"L8_C_4","L8","Control","RGB2",4892.573935,1741.984956,0.109105393,129.6568049
"9/4/2023",24,"L6_D_12","L6","Drought","RGB2",3923.775709,1514.668511,0.118258593,100.9550255
"9/4/2023",24,"L2_D_6","L2","Drought","RGB2",2669.596121,1199.293091,0.097687289,106.6562004
"9/4/2023",24,"L8_D_17","L8","Drought","RGB2",4228.581183,1902.108835,0.079552178,151.5724033
"9/4/2023",24,"L1_D_4","L1","Drought","RGB2",3572.121957,1555.750177,0.11233789,137.9434777
"9/4/2023",24,"L7_C_4","L7","Control","RGB2",1695.984743,881.9746607,0.092879414,86.11010251
"9/4/2023",24,"L7_C_6","L7","Control","RGB2",2721.420991,1153.940913,0.100717604,85.30846146
"9/4/2023",24,"L4_D_3","L4","Drought","RGB2",3484.958695,1354.786886,0.157606659,99.39927836
"9/4/2023",24,"L8_D_19","L8","Drought","RGB2",3577.513163,1604.202185,0.113135767,139.0249527
"9/4/2023",24,"L4_C_6","L4","Control","RGB2",4303.864689,1663.007997,0.068572834,114.3670651
"9/4/2023",24,"L9_C_13","L9","Control","RGB2",3124.147496,1394.451583,0.081921858,100.4861512
"9/4/2023",24,"L9_D_19","L9","Drought","RGB2",3520.969968,1519.079763,0.074709876,125.6794572
"9/4/2023",24,"L1_C_2","L1","Control","RGB2",6898.314046,2140.259057,0.086634565,173.323997
"9/4/2023",24,"L3_C_5","L3","Control","RGB2",3820.682539,1576.865212,0.075083774,120.2494184
"9/4/2023",24,"L9_C_1","L9","Control","RGB2",4302.864454,1972.287016,0.074648917,177.6631023
"9/4/2023",24,"L7_C_18","L7","Control","RGB2",2112.362301,1077.353629,0.09559275,94.69003601
"9/4/2023",24,"L7_D_13","L7","Drought","RGB2",3533.843473,1638.679407,0.08085989,142.3671086
"9/4/2023",24,"L6_D_1","L6","Drought","RGB2",2324.264872,1075.197934,0.156648598,102.2237195
"9/4/2023",24,"L3_D_6","L3","Drought","RGB2",3380.102777,1266.255771,0.13042056,107.4841215
"9/4/2023",24,"L1_C_14","L1","Control","RGB2",7311.545592,2229.907391,0.091219582,141.7432018
"9/4/2023",24,"L1_D_6","L1","Drought","RGB2",3397.795433,1306.146627,0.088233439,82.30796081
"9/4/2023",24,"L5_D_4","L5","Drought","RGB2",2535.018747,1033.587901,0.205373847,111.4434323
"9/4/2023",24,"L8_C_13","L8","Control","RGB2",3208.082497,1457.009724,0.08410106,145.8803973
"9/4/2023",24,"L5_D_8","L5","Drought","RGB2",4894.189779,1857.488527,0.057340513,155.5222513
"9/4/2023",24,"L1_C_15","L1","Control","RGB2",3778.97651,1445.420267,0.111363636,100.6739036
"9/4/2023",24,"L1_D_14","L1","Drought","RGB2",4657.120338,1952.021651,0.082977408,143.5381943
"9/4/2023",24,"L4_D_7","L4","Drought","RGB2",5409.260987,2015.023199,0.076823758,140.381373
"9/4/2023",24,"L9_D_15","L9","Drought","RGB2",3006.826069,1232.796438,0.078789228,95.76840572
"9/4/2023",24,"L8_D_9","L8","Drought","RGB2",3581.838517,1367.732021,0.080926292,119.2580285
"9/4/2023",24,"L6_D_8","L6","Drought","RGB2",3231.738704,1173.841359,0.077351068,91.05902513
"9/4/2023",24,"L4_D_2","L4","Drought","RGB2",5067.329132,1768.891131,0.085062544,118.2726786
