"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","RGB1_Plant_RGB.138.139.97","RGB1_Plant_RGB.68.85.63"
"9/8/2023",28,"L6_D_15","L6","Drought","RGB1",2.066242189,97.93375781
"9/8/2023",28,"L6_D_16","L6","Drought","RGB1",1.699118989,98.30088101
"9/8/2023",28,"L6_D_17","L6","Drought","RGB1",1.245642264,98.75435774
"9/8/2023",28,"L6_D_18","L6","Drought","RGB1",2.141193195,97.85880681
"9/8/2023",28,"L9_C_1","L9","Control","RGB1",1.288142257,98.71185774
"9/8/2023",28,"L9_C_10","L9","Control","RGB1",1.976230658,98.02376934
"9/8/2023",28,"L9_C_11","L9","Control","RGB1",1.810344956,98.18965504
"9/8/2023",28,"L9_C_12","L9","Control","RGB1",2.169354813,97.83064519
"9/8/2023",28,"L9_C_13","L9","Control","RGB1",0.213533188,99.78646681
"9/8/2023",28,"L9_C_14","L9","Control","RGB1",2.651247033,97.34875297
"9/8/2023",28,"L9_C_15","L9","Control","RGB1",1.676946496,98.3230535
"9/8/2023",28,"L9_C_16","L9","Control","RGB1",1.940937824,98.05906218
"9/8/2023",28,"L9_C_17","L9","Control","RGB1",0.593729406,99.40627059
"9/8/2023",28,"L9_C_18","L9","Control","RGB1",2.052789409,97.94721059
"9/8/2023",28,"L9_C_19","L9","Control","RGB1",1.217380971,98.78261903
"9/8/2023",28,"L9_C_2","L9","Control","RGB1",0.983869515,99.01613048
"9/8/2023",28,"L9_C_20","L9","Control","RGB1",1.323873947,98.67612605
"9/8/2023",28,"L9_C_3","L9","Control","RGB1",0.961670708,99.03832929
"9/8/2023",28,"L9_C_4","L9","Control","RGB1",2.101362774,97.89863723
"9/8/2023",28,"L9_C_5","L9","Control","RGB1",1.671905532,98.32809447
"9/8/2023",28,"L9_C_6","L9","Control","RGB1",0.824284031,99.17571597
"9/8/2023",28,"L9_C_7","L9","Control","RGB1",0.394873953,99.60512605
"9/8/2023",28,"L9_C_8","L9","Control","RGB1",1.014133566,98.98586643
"9/8/2023",28,"L9_C_9","L9","Control","RGB1",2.114752913,97.88524709
"9/8/2023",28,"L9_D_1","L9","Drought","RGB1",1.538052939,98.46194706
"9/8/2023",28,"L9_D_10","L9","Drought","RGB1",0.412516131,99.58748387
